onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
252.008373503	8.00865948800038	5	3	3	1.19817236399967	CORRECT	1	5	2.01865712300014	3.01148237200005	252.008373503
264.021348018	9.49796575899973	3	1	4.5	0.808527142999992	CORRECT	1	5	1.98567829800004	3.01155040499998	264.021348018
277.507076596	9.49792435500012	12	7	4.5	2.30380223499969	CORRECT	2	28	2.00212046100023	2.97842085999991	277.507076596
289.023681466	7.99223232000031	11	7	3	1.29919875499991	CORRECT	1	5	1.98568430900013	2.99507196500008	289.023681466
301.020161946	8.00872007599992	2	1	3	1.12609258400016	CORRECT	2	28	2.00219594300006	3.01154110800007	301.020161946
311.014555583	8.00866137000003	8	5	3	1.32970348500021	CORRECT	2	28	2.00217023499999	3.01152093400015	311.014555583
321.025336057	6.48640601699981	10	7	1.5	1.64237882399993	CORRECT	1	5	1.98567121899987	2.9949766689997	321.025336057
335.520412371	6.50293040399993	1	1	1.5	1.00304061100042	CORRECT	1	5	1.98568255200007	3.01146073000018	335.520412371
344.009020494	8.00862389900021	11	7	3	1.26553130399998	CORRECT	1	5	2.0021867950004	2.99490656799981	344.009020494
354.003321031	6.51944486999992	7	5	1.5	1.12236032100009	CORRECT	2	28	2.01871400300024	3.01147612199975	354.003321031
362.525025777	6.48629659400012	4	3	1.5	1.1710652669999	CORRECT	2	28	1.98560622700006	2.99495853000008	362.525025777
373.015706065	7.9921407490001	11	7	3	1.08176224299996	CORRECT	2	28	1.98559532599984	2.99500582400015	373.015706065
383.010014351	9.51448960000016	3	1	4.5	0.973340042999553	CORRECT	2	28	2.00217472800023	3.01159969499986	383.010014351
396.512298517	9.49786503799987	12	7	4.5	1.62945339499993	INCORRECT	2	5	2.00215921599965	2.99493872799985	396.512298517
408.01235912	8.00868988100001	2	1	3	0.98328589699986	CORRECT	1	5	2.00213101899999	3.01153945799979	408.01235912
428.017504796	6.48638738199998	10	7	1.5	1.27421700099967	CORRECT	2	28	2.00216747399963	2.99495630599995	428.017504796
438.508273558	9.4978685609999	3	1	4.5	0.661311479000688	CORRECT	1	5	2.00222973500013	2.99489727400032	438.508273558
450.008354089	9.51447769900005	9	5	4.5	0.994991892000144	CORRECT	1	5	2.00214476300062	3.01151458099957	450.008354089
463.510589801	9.49793301499994	6	3	4.5	0.923577919999843	CORRECT	2	28	2.00216731799992	2.99498646600023	463.510589801
475.010693686	8.00866775499981	5	3	3	0.999046237000584	CORRECT	1	5	2.00219409900001	3.01153243299996	475.010693686
487.007177208	8.00867963600012	8	5	3	2.06464587600021	INCORRECT	2	5	2.00220392700066	2.9949706819998	487.007177208
499.020225685	6.50294166799995	4	3	1.5	1.03598354299993	CORRECT	2	28	1.98560406099932	3.01146947100005	499.020225685
507.525280563	6.48646101399936	4	3	1.5	0.835598943999685	CORRECT	1	5	1.98562742600006	2.99502125699928	507.525280563
520.018200505	7.99213283600056	5	3	3	1.66522179300046	CORRECT	2	28	2.00215357300021	2.99498190400027	520.018200505
530.01256998	9.49786932500047	12	7	4.5	1.03889538500061	CORRECT	1	5	2.00208710700008	2.99500114200055	530.01256998
547.519167183	9.49787884599937	9	5	4.5	1.09529895000014	CORRECT	1	5	2.00212094499966	2.99498706099985	547.519167183
559.019210717	6.50295871900016	1	1	1.5	2.0575741420007	CORRECT	2	28	1.9856033850001	3.01157562900062	559.019210717
567.507794849	6.50288798299971	7	5	1.5	1.11293512600059	CORRECT	2	28	2.00215412499983	2.99494968500039	567.507794849
