subject,session,scan,snr,bg_mean,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality
sub-11156,session_1,bht,12.0247752963,43.7843135247,103538,67.4285857635,1.16127683432,0.530096320543,106.68582183,810.813592356,35726,179.333926436,2.08345908711,2.08398666667,2.23595351103,1.94087511569,0.091509016807,0.0247959680855,62.1606750488,0.0936626570517,0,n/a,0,0.00672668316456
sub-11156,session_1,taskswitch,12.1137879594,43.2834099059,103459,67.317302798,1.15606057527,0.529103298357,108.897212197,815.467532093,35805,180.287118444,2.07557278336,2.07607333333,2.22668351029,1.93425511529,0.0152598752078,0.0238925293088,76.8898849487,0.0457930674732,0,n/a,0,0.00393152360577
sub-11156,session_1,bart,11.7711537806,44.166422105,103672,69.75051484,1.08764104471,0.52861766864,103.751118898,821.044036458,35592,181.742539089,1.99111892743,2.00819,2.13242,1.8433725,0.0215188961184,0.0227360241115,74.5208282471,0.0360890765401,0,n/a,0,0.00381372617978
sub-11156,session_1,scap,12.1543697021,42.8796486669,103410,66.8329769101,1.14345314247,0.529006967804,109.747799716,812.312709658,35854,179.27124835,2.06776825004,2.05834,2.22517351017,1.93030261506,0.0189709951944,0.0242936816067,74.6741027832,0.0492691232854,0,n/a,0,0.00430026941581
sub-11156,session_1,stopsignal,12.1834626719,42.4875912886,103434,66.5907735103,1.18948468529,0.528301059275,110.606853776,811.306203353,35830,178.641915192,2.07416754337,2.05301,2.23661351108,1.94334261583,0.035689205877,0.0237325131893,76.612449646,0.0429711937066,0,n/a,0,0.00386575184783
sub-50003,session_1,pamenc,9.20481099368,56.9495038408,106186,80.8258815096,1.00637177674,0.546806909814,59.5729982611,743.986962693,33078,169.912876666,2.08083334773,2.09311,2.22665333333,1.93316261523,0.0575354399982,0.02642772533,31.1509590149,0.288575168472,14,n/a,5.76131687243,0.0212274796694
sub-50003,session_1,scap,9.49862939752,57.4088034716,105900,82.2306045762,1.05918243145,0.542555053724,64.1592562979,781.078038004,33364,187.629786321,2.14709752684,2.20372666667,2.32348,1.9331175,0.0264898149733,0.0282635483891,32.8301086426,0.154980228629,5,n/a,1.71232876712,0.0181794876976
sub-50003,session_1,pamret,9.24209140595,57.2279043459,106122,80.5840019765,0.986132066279,0.54741985715,59.792910691,744.764712124,33142,171.547448865,2.11146697387,2.14079,2.25293666667,1.95177761634,0.0398429890818,0.0300425738096,29.9236793518,0.319337818925,18,n/a,6.69144981413,0.0217473247015
sub-50003,session_1,bht,9.25730776173,61.968483515,105904,86.1672043495,1.05244000345,0.548528100399,59.7723824723,797.676329631,33360,192.45268344,2.18693183782,2.20128666667,2.3589,2.0142775,0.0298744833036,0.0217194277793,29.6694755554,0.406586400952,8,n/a,10,0.0216222696203
sub-50003,session_1,stopsignal,9.284549973,59.0766152334,106035,85.3595455675,1.22225781525,0.542886245238,61.6603416109,792.524966494,33229,190.712522218,2.13919305245,2.15769333333,2.29594666667,1.9760575,0.0143057308372,0.0216838233173,55.5254173279,0.0886005522605,1,n/a,0.540540540541,0.00651566130435
sub-50003,session_1,taskswitch,9.54286398088,57.9207864454,105918,82.7992878944,1.01079134177,0.542273132196,64.6816364599,790.14234209,33346,190.016815527,2.18008735041,2.21564333333,2.35293333333,1.98752,0.0483488186779,0.0252676568925,31.1474609375,0.224393330359,10,n/a,4.78468899522,0.0200402876442
